[rosmaster.master][INFO] 2022-02-02 11:30:16,037: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:16,044: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:30:16,049: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:31:44,729: +PUB [/rosout] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,738: +SERVICE [/rostopic_20468_1643801504572/get_loggers] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,741: +SERVICE [/rostopic_20468_1643801504572/set_logger_level] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,753: +SUB [/sweeper_cmd_bt] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:44,796: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/', 'http://ubuntu:39139/']
[rosmaster.master][INFO] 2022-02-02 11:31:44,804: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/', 'http://ubuntu:39139/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:31:52,149: -SUB [/sweeper_cmd_bt] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:52,150: -PUB [/rosout] /rostopic_20468_1643801504572 http://ubuntu:39139/
[rosmaster.master][INFO] 2022-02-02 11:31:52,151: -SERVICE [/rostopic_20468_1643801504572/get_loggers] /rostopic_20468_1643801504572 rosrpc://ubuntu:39351
[rosmaster.master][INFO] 2022-02-02 11:31:52,152: -SERVICE [/rostopic_20468_1643801504572/set_logger_level] /rostopic_20468_1643801504572 rosrpc://ubuntu:39351
[rosmaster.master][INFO] 2022-02-02 11:31:52,212: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/']
[rosmaster.master][INFO] 2022-02-02 11:31:52,215: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:34455/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:33:17,942: -SUB [/tf_static] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:33:17,943: -SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:33:17,943: -SUB [/tf] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:33:17,944: -SUB [/rosout_agg] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:33:17,944: -PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:33:17,944: -PUB [/rosout] /link_ros http://ubuntu:34455/
[rosmaster.master][INFO] 2022-02-02 11:33:17,945: -SERVICE [/link_ros/get_loggers] /link_ros rosrpc://ubuntu:37503
[rosmaster.master][INFO] 2022-02-02 11:33:17,946: -SERVICE [/link_ros/tf2_frames] /link_ros rosrpc://ubuntu:37503
[rosmaster.master][INFO] 2022-02-02 11:33:17,946: -SERVICE [/link_ros/set_logger_level] /link_ros rosrpc://ubuntu:37503
[rosmaster.master][INFO] 2022-02-02 11:33:17,974: publisherUpdate[/rosout] -> http://ubuntu:39169/ []
[rosmaster.master][INFO] 2022-02-02 11:33:17,976: publisherUpdate[/rosout] -> http://ubuntu:39169/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:34:50,400: +PUB [/rosout] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:34:50,410: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:34:50,414: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:34:50,444: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:36635/']
[rosmaster.master][INFO] 2022-02-02 11:34:50,450: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:36635/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:34:51,089: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:34:51,113: +SUB [/rosout_agg] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:34:52,088: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:34:52,097: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:34:52,104: +SUB [/tf] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:34:52,110: +SUB [/tf_static] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:35:33,116: +PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:35:33,119: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:35:33,128: +SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:35:33,735: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:37:18,218: -SUB [/tf_static] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:37:18,219: -SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:37:18,219: -SUB [/tf] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:37:18,219: -SUB [/rosout_agg] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:37:18,219: -PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:37:18,220: -PUB [/rosout] /link_ros http://ubuntu:36635/
[rosmaster.master][INFO] 2022-02-02 11:37:18,220: -SERVICE [/link_ros/get_loggers] /link_ros rosrpc://ubuntu:41153
[rosmaster.master][INFO] 2022-02-02 11:37:18,220: -SERVICE [/link_ros/tf2_frames] /link_ros rosrpc://ubuntu:41153
[rosmaster.master][INFO] 2022-02-02 11:37:18,220: -SERVICE [/link_ros/set_logger_level] /link_ros rosrpc://ubuntu:41153
[rosmaster.master][INFO] 2022-02-02 11:37:18,250: publisherUpdate[/rosout] -> http://ubuntu:39169/ []
[rosmaster.master][INFO] 2022-02-02 11:37:18,252: publisherUpdate[/rosout] -> http://ubuntu:39169/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:37:31,867: +PUB [/rosout] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:31,874: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:31,877: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:31,879: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:39405/']
[rosmaster.master][INFO] 2022-02-02 11:37:31,883: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:39405/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 11:37:32,576: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:37:32,598: +SUB [/rosout_agg] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:33,570: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:37:33,582: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:33,587: +SUB [/tf] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:33,592: +SUB [/tf_static] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:49,281: +PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:49,286: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:37:49,292: +SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 11:37:49,849: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:38:06,566: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:38:20,998: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:38:21,003: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:38:21,007: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:40:20,023: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:40:20,030: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:40:20,035: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 11:41:38,776: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:28:32,257: -SUB [/tf_static] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 13:28:32,258: -SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 13:28:32,258: -SUB [/tf] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 13:28:32,259: -SUB [/rosout_agg] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 13:28:32,259: -PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 13:28:32,259: -PUB [/rosout] /link_ros http://ubuntu:39405/
[rosmaster.master][INFO] 2022-02-02 13:28:32,260: -SERVICE [/link_ros/get_loggers] /link_ros rosrpc://ubuntu:39149
[rosmaster.master][INFO] 2022-02-02 13:28:32,260: -SERVICE [/link_ros/tf2_frames] /link_ros rosrpc://ubuntu:39149
[rosmaster.master][INFO] 2022-02-02 13:28:32,261: -SERVICE [/link_ros/set_logger_level] /link_ros rosrpc://ubuntu:39149
[rosmaster.master][INFO] 2022-02-02 13:28:32,308: publisherUpdate[/rosout] -> http://ubuntu:39169/ []
[rosmaster.master][INFO] 2022-02-02 13:28:32,312: publisherUpdate[/rosout] -> http://ubuntu:39169/ []: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:30:03,030: +PUB [/rosout] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:03,037: +SERVICE [/link_ros/get_loggers] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:03,039: +SERVICE [/link_ros/set_logger_level] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:03,085: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/']
[rosmaster.master][INFO] 2022-02-02 13:30:03,089: publisherUpdate[/rosout] -> http://ubuntu:39169/ ['http://ubuntu:33825/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-02-02 13:30:03,706: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:30:03,726: +SUB [/rosout_agg] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:04,703: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:30:04,713: +SERVICE [/link_ros/tf2_frames] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:04,720: +SUB [/tf] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:04,726: +SUB [/tf_static] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:39,970: +PUB [/sweeper_cmd_bt] /link_ros http://ubuntu:33825/
[rosmaster.master][INFO] 2022-02-02 13:30:39,973: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-02-02 13:30:39,982: +SUB [/sweeper_cmd_bt] /link_ros http://ubuntu:33825/
