[rosmaster.master][INFO] 2022-03-23 15:10:41,304: +SUB [/image_raw] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:04,621: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:04,631: +PUB [/cmd_vel] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:04,635: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:04,648: +SUB [/cmd_vel] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:43,124: +PUB [/video/click] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:11:43,130: publisherUpdate[/video/click] -> http://ubuntu:42197/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']
[rosmaster.master][INFO] 2022-03-23 15:11:43,135: publisherUpdate[/video/click] -> http://ubuntu:42197/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']: sec=0.00, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:11:43,135: publisherUpdate[/video/click] -> http://ubuntu:44453/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']
[rosmaster.master][INFO] 2022-03-23 15:11:43,143: publisherUpdate[/video/click] -> http://ubuntu:44453/ ['http://ubuntu:45631/', 'http://ubuntu:44453/']: sec=0.01, result=[1, '', 0]
[rosmaster.master][INFO] 2022-03-23 15:11:43,680: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:43,691: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:43,698: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:45,949: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:45,954: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:11:45,959: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,079: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,183: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,289: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,301: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,523: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,725: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:23,788: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:24,026: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:24,121: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:24,275: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:24,654: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:24,724: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:24,903: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:25,130: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:25,274: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:25,510: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:25,706: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:25,904: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:26,106: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:26,301: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:26,504: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:26,684: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:26,875: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:27,109: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:33,460: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:33,517: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:33,673: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:33,870: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:33,930: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:34,045: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:34,066: +PUB [/move_base/cancel] /link_ros http://ubuntu:44453/
[rosmaster.master][INFO] 2022-03-23 15:16:34,080: +CACHEDPARAM [/rosout_disable_topics_generation] by /link_ros
[rosmaster.master][INFO] 2022-03-23 15:16:34,150: +SUB [/move_base/cancel] /link_ros http://ubuntu:44453/
